PC1.PV,FC3.PV,LC1.PV,FC1.PV,FC4.PV,TC1.PV,FC6.PV,PC2.PV,LC3.PV,FC5.PV,LC2.PV,FC8.PV,TC2.PV,FC7.PV,PC1.OP,FC3.OP,LC1.OP,FC1.OP,FC4.OP,TC1.OP,FC6.OP,PC2.OP,LC3.OP,FC5.OP,LC2.OP,FC8.OP,TC2.OP,FC7.OP,TI1.PV,TI2.PV,FI1.PV,PI1.PV,TI5.PV,TI4.PV,TI6.PV,FI5.PV,TI3.PV,FI4.PV,TI8.PV,TI7.PV,PI2.PV,FI3.PV,LI1.PV,FC3.SP,FC1.SP,FC6.SP,FC5.SP,FC8.SP
4.2173,6378.3,55.421,7.6179,13.461,108.59,1821.7,7.543,41.521,4.6743,43.214,0.87008,65.778,715.83,61.25,25.556,45.083,19.01,13.635,24.456,39.351,45.167,59.819,47.611,11.556,8.0313,14.918,62.851,72.637,62.705,29.395,31.536,90.83,99.455,117.36,9.6763,16.439,2.2431,88.246,91.59,1.5852,2.5161,59.421,6367.6,7.5953,1801.4,4.6482,0.86858
4.2228,6387.9,55.309,7.6119,13.476,108.51,1823.8,7.4443,41.979,4.6406,43.314,0.86677,65.825,710.29,61.194,25.503,45.417,19.063,13.573,24.625,40.163,43,60.931,48.667,11.778,7.9826,14.772,62.938,72.637,62.621,30.695,31.547,90.788,99.33,117.22,9.9456,16.439,2.2467,88.246,91.59,1.579,2.4775,59.421,6362.8,7.6293,1842.3,4.6642,0.86595
4.2061,6356.5,55.709,7.6151,13.333,108.38,1868,7.4307,42.195,4.6232,43.255,0.87008,65.825,713.46,61.333,25.656,44.25,18.524,13.722,24.878,39.854,42.444,61.486,49.722,11.667,7.8646,14.782,62.84,72.683,62.663,31.007,31.508,90.747,99.205,117.13,9.6832,16.47,2.2495,88.246,91.54,1.5696,2.5206,59.39,6374.8,7.5103,1862.8,4.6899,0.86608
4.2395,6382.2,55.532,7.6215,13.44,108.34,1878.7,7.4505,42.726,4.6347,43.183,0.87008,65.778,709.84,61,25.455,44.75,18.503,13.608,24.962,40.882,42.556,62.806,49.833,11.556,7.8993,14.95,62.896,72.683,62.663,29.436,31.543,90.663,99.121,117.08,9.5944,16.47,2.2583,88.246,91.54,1.5696,2.4671,59.39,6346.1,7.5613,1911.3,4.6983,0.8692
4.2117,6360.7,55.303,7.6179,13.502,108.34,1871.3,7.5325,42.163,4.652,43.311,0.87008,65.778,715.94,61.278,25.615,45.417,18.691,13.483,24.968,40.243,44,61.486,49.833,11.833,7.8819,14.962,62.753,72.73,62.663,33.317,31.592,90.663,99.121,117.08,9.4181,16.47,2.2656,88.246,91.54,1.5477,2.5095,59.359,6370,7.6293,1862.8,4.699,0.86933
4.1867,6387.9,55.243,7.6215,13.348,108.38,1857.3,7.559,42.014,4.652,43.214,0.87171,65.778,713.46,61.528,25.615,45.5,19.052,13.66,24.888,40.125,44.444,61.069,49.944,11.611,7.8229,14.975,62.771,72.777,62.58,30.579,31.533,90.622,99.163,117.18,9.8727,16.501,2.2708,88.246,91.5,1.5477,2.5418,59.359,6391.5,7.6377,1847.4,4.6913,0.86958
4.2089,6376.2,55.115,7.6151,13.522,108.43,1840.6,7.5687,42.01,4.6406,43.269,0.87171,65.731,712.92,61.306,25.573,45.917,19.51,13.472,24.805,40.26,44.556,61.069,50.167,11.722,7.8472,15.144,62.75,72.824,62.663,29.306,31.574,90.663,99.246,117.22,10.127,16.501,2.2744,88.204,91.5,1.5477,2.5283,59.328,6372.4,7.6802,1847.4,4.683,0.87258
4.2367,6382.2,55.452,7.6119,13.323,108.47,1855.9,7.559,42.028,4.6406,43.123,0.86839,65.731,715.42,61.028,25.472,44.917,19.236,13.646,24.723,39.854,44.333,61.069,50.167,11.444,7.9479,15.159,62.674,72.824,62.621,32.995,31.567,90.747,99.288,117.22,9.5347,16.533,2.2725,88.204,91.5,1.5477,2.5255,59.328,6348.5,7.5783,1847.4,4.6746,0.87296
4.2061,6376.2,55.059,7.6119,13.404,108.51,1845,7.5808,42.035,4.6232,43.113,0.87171,65.731,713.75,61.306,25.563,46.083,19.958,13.594,24.644,40.108,44.722,61.139,50.444,11.444,7.9306,15.174,62.674,72.871,62.663,27.977,31.595,90.747,99.371,117.27,9.8859,16.533,2.2737,88.162,91.5,1.554,2.5304,59.297,6372.4,7.6972,1850,4.6663,0.87321
4.2089,6370.3,55.108,7.6243,13.353,108.55,1839.9,7.6031,42.125,4.6461,43.085,0.86839,65.731,714.19,61.306,25.587,46,20.184,13.615,24.561,40.438,45.167,61.347,49.889,11.389,8.0417,15.189,62.646,72.918,62.663,33.97,31.613,90.788,99.455,117.32,9.3966,16.533,2.2693,88.204,91.5,1.5446,2.5161,59.266,6372.4,7.6887,1857.6,4.6586,0.87346
4.2312,6376.2,54.868,7.6215,13.415,108.63,1855.2,7.6493,42.028,4.6347,43.075,0.86839,65.731,714.04,61.083,25.49,46.667,20.663,13.608,24.395,40.066,46.111,61.139,49.778,11.333,8.1007,15.204,62.615,72.965,62.621,28.779,31.623,90.83,99.496,117.32,9.5278,16.564,2.2701,88.162,91.45,1.5289,2.5227,59.266,6353.3,7.7567,1850,4.6413,0.87371
4.2089,6364.6,55.056,7.6462,13.476,108.67,1810.1,7.6747,41.611,4.6406,43.044,0.87008,65.731,712.92,61.278,25.604,46.083,20.625,13.51,24.313,39.931,46.722,60.097,49.556,11.278,8.1493,15.219,62.594,73.012,62.621,31.014,31.62,90.872,99.58,117.36,9.8866,16.564,2.2639,88.121,91.45,1.5352,2.4706,59.235,6370,7.6972,1811.6,4.6336,0.87396
4.1922,6382.2,55.212,7.6678,13.328,108.72,1813.2,7.6716,41.493,4.6576,43.151,0.87008,65.637,712.63,61.444,25.597,45.583,20.469,13.656,24.226,39.486,46.778,59.75,48.889,11.5,8.3993,15.549,62.594,73.105,62.663,31.773,31.63,90.872,99.663,117.41,9.8005,16.595,2.2553,88.162,91.45,1.554,2.5029,59.204,6384.3,7.6462,1798.9,4.6253,0.87996
4.1978,6386.1,55.306,7.6802,13.435,108.76,1788.1,7.6636,41.385,4.6635,43.019,0.87008,65.637,711.25,61.389,25.545,45.25,20.135,13.58,24.143,39.524,46.722,59.472,48.444,11.278,8.6007,15.57,62.618,73.152,62.663,28.945,31.599,90.913,99.705,117.41,9.4785,16.595,2.2547,88.246,91.5,1.5665,2.5053,59.204,6379.5,7.6123,1788.6,4.6162,0.88033
4.1978,6374.5,54.875,7.677,13.42,108.8,1800.5,7.6493,41.74,4.6461,43.04,0.87008,65.684,712.08,61.389,25.58,46.583,20.729,13.549,24.06,39.913,46.5,60.236,48.444,11.333,8.7326,15.431,62.549,73.199,62.663,32.55,31.616,90.955,99.705,117.41,9.6374,16.595,2.2527,88.329,91.5,1.5665,2.5105,59.204,6379.5,7.7482,1816.8,4.6079,0.87783
4.2034,6356.5,55.087,7.6958,13.286,108.84,1809.5,7.6809,41.479,4.6461,42.992,0.87008,65.731,711.93,61.333,25.646,45.917,20.556,13.719,23.974,39.212,47.278,59.611,48.278,11.222,8.8264,15.291,62.524,73.293,62.663,30.318,31.613,90.955,99.746,117.46,9.575,16.626,2.2512,88.371,91.5,1.5915,2.4949,59.173,6374.8,7.6802,1793.8,4.6079,0.87533
4.2034,6352.7,54.719,7.705,13.446,108.84,1792.2,7.7588,41.566,4.6576,42.978,0.86839,65.825,715.02,61.333,25.646,47,20.885,13.594,23.973,39.698,49.056,59.75,47.722,11.167,8.8021,14.991,62.417,73.34,62.663,29.586,31.623,90.997,99.788,117.51,9.8554,16.626,2.2497,88.412,91.54,1.5946,2.5349,59.173,6374.8,7.7906,1798.9,4.5996,0.86983
4.1867,6372.4,54.99,7.723,13.292,108.92,1779.2,7.7154,41.021,4.6461,42.898,0.87008,65.872,714.04,61.5,25.622,46.167,20.41,13.736,23.802,38.688,48.389,58.361,47.333,11,8.7083,14.843,62.378,73.387,62.663,32.049,31.627,91.038,99.913,117.55,9.2654,16.658,2.2515,88.412,91.54,1.5759,2.5328,59.142,6389.1,7.7057,1747.8,4.5822,0.8672
4.2145,6366.4,55.164,7.7291,13.43,108.92,1800.5,7.657,41.403,4.6232,42.926,0.86839,65.918,712.92,61.222,25.556,45.75,20.292,13.649,23.798,38.747,47.333,59.194,47.556,11.056,8.6007,14.692,62.372,73.387,62.705,27.966,31.609,91.038,99.913,117.51,9.8928,16.658,2.2564,88.329,91.54,1.5759,2.5133,59.142,6365.2,7.6632,1778.4,4.5815,0.86445
4.2228,6378.3,55.278,7.723,13.44,108.92,1804.7,7.6299,41.583,4.6176,42.853,0.86839,65.918,713.07,61.111,25.49,45.333,20,13.587,23.792,39.059,46.889,59.681,47.444,10.889,8.5069,14.696,62.319,73.433,62.663,34.628,31.592,91.038,99.913,117.46,10.189,16.689,2.2641,88.246,91.54,1.5633,2.522,59.111,6355.6,7.6208,1796.3,4.5815,0.86458
4.2256,6358.6,54.844,7.7354,13.394,108.88,1807.8,7.593,41.736,4.6176,42.964,0.87008,65.872,715.26,61.083,25.521,46.75,20.573,13.684,23.873,39.351,46.167,59.958,47.444,11.111,8.441,14.858,62.212,73.48,62.663,30.141,31.606,91.038,99.913,117.41,9.9657,16.689,2.2687,88.162,91.54,1.5759,2.5376,59.111,6353.3,7.7652,1806.5,4.5898,0.86745
4.22,6354.7,55.157,7.7383,13.456,108.84,1815.1,7.4981,41.903,4.5947,42.946,0.87171,65.825,713.46,61.111,25.531,45.75,20.104,13.611,23.955,39.639,44.222,60.375,47.833,11.111,8.4097,15.023,62.194,73.48,62.663,29.791,31.602,91.038,99.83,117.32,8.7025,16.689,2.2682,88.121,91.54,1.5727,2.5241,59.08,6355.6,7.6632,1821.9,4.5891,0.87046
4.2173,6341,54.931,7.7383,13.404,108.75,1850.7,7.4119,42.278,4.6176,42.964,0.87171,65.778,715.83,61.139,25.587,46.417,20.361,13.639,24.119,39.913,42.222,61.347,47.611,11.111,8.4653,15.189,62.094,73.527,62.663,31.931,31.592,91.038,99.746,117.18,10.13,16.72,2.2713,88.121,91.54,1.5633,2.4855,59.08,6358,7.7312,1857.6,4.6058,0.87346
4.2034,6358.6,54.844,7.7383,13.415,108.67,1851.4,7.4307,42.448,4.6117,42.978,0.87171,65.778,713.75,61.25,25.573,46.75,20.438,13.628,24.284,40.476,42.278,61.764,48.333,11.167,8.5,15.201,62.076,73.527,62.663,30.657,31.581,90.955,99.663,117.08,10.093,16.72,2.274,88.121,91.54,1.5602,2.4831,59.048,6367.6,7.7652,1873,4.6308,0.87371
4.2061,6360.7,54.917,7.7443,13.446,108.63,1895.3,7.4568,42.858,4.5888,42.887,0.87008,65.778,716.77,61.222,25.556,46.5,20.389,13.594,24.367,40.688,42.556,62.875,49.167,11,8.5903,15.214,61.965,73.527,62.705,30.403,31.595,90.913,99.58,117.04,10.091,16.72,2.2662,88.121,91.5,1.5633,2.4758,59.017,6365.2,7.7397,1913.9,4.6392,0.87396
4.1756,6358.6,55.282,7.7443,13.41,108.63,1889.8,7.5315,42.556,4.5888,42.88,0.86839,65.778,714.19,61.528,25.663,45.417,19.861,13.615,24.366,40.497,43.833,62.181,49.167,10.944,8.691,15.227,61.965,73.527,62.663,31.089,31.595,90.913,99.621,117.08,9.8741,16.751,2.2597,88.121,91.5,1.5508,2.5224,59.017,6391.5,7.6293,1888.3,4.6308,0.87408
4.2006,6358.6,54.705,7.7478,13.44,108.75,1853.9,7.5888,42.063,4.6117,42.905,0.86839,65.778,711.12,61.278,25.615,47.167,20.427,13.59,24.115,40.222,44.944,61,48.611,11,8.7847,15.238,62.007,73.574,62.705,30.988,31.595,90.913,99.663,117.18,9.8706,16.751,2.2556,88.162,91.5,1.554,2.4977,59.017,6370,7.8076,1844.9,4.6218,0.87433
4.2034,6378.3,54.816,7.7443,13.425,108.79,1856,7.5777,41.983,4.6062,42.901,0.87008,65.825,712.08,61.25,25.521,46.75,20.174,13.59,24.032,39.719,44.722,60.792,48.444,11,8.7743,15.093,61.951,73.574,62.663,32.403,31.602,90.913,99.746,117.27,9.7471,16.751,2.2559,88.162,91.5,1.5383,2.5088,59.017,6367.6,7.7652,1837.2,4.6051,0.87171
4.195,6376.2,54.858,7.7443,13.374,108.83,1881.4,7.5954,42.132,4.6117,42.846,0.87008,65.778,710.42,61.333,25.573,46.667,20.351,13.681,23.946,39.542,45,61.208,48.167,10.889,8.9097,15.261,61.972,73.574,62.663,30.176,31.623,90.997,99.83,117.27,9.6187,16.783,2.2572,88.162,91.45,1.554,2.5032,58.955,6374.8,7.7567,1852.5,4.5968,0.87471
4.1922,6366.4,54.813,7.7443,13.502,108.88,1827.6,7.6093,41.927,4.6176,42.818,0.87171,65.778,710.68,61.389,25.615,46.833,20.691,13.535,23.859,40.184,45.278,60.722,47.833,10.833,8.9861,15.273,61.983,73.621,62.705,30.403,31.651,90.997,99.913,117.32,9.4313,16.783,2.256,88.162,91.5,1.554,2.5019,58.955,6379.5,7.7737,1834.6,4.5877,0.87496
4.2089,6366.4,54.858,7.7839,13.404,108.92,1863,7.6187,42.33,4.6003,42.776,0.87171,65.778,711.64,61.222,25.556,46.667,20.701,13.608,23.772,40.26,45.444,61.625,47.944,10.722,9.0694,15.285,61.962,73.621,62.663,32.297,31.644,91.038,99.996,117.32,9.5965,16.783,2.2592,88.162,91.5,1.5446,2.5001,58.955,6365.2,7.7567,1867.9,4.5794,0.87521
4.1867,6368.5,54.813,7.8051,13.44,108.92,1820.7,7.6726,41.667,4.6347,42.835,0.87008,65.778,711.64,61.417,25.604,46.833,20.681,13.594,23.766,39.757,46.667,60.028,47.056,10.833,9.1771,15.297,61.941,73.668,62.705,29.955,31.661,91.08,100.04,117.36,9.8311,16.783,2.2612,88.162,91.5,1.554,2.5012,58.924,6381.9,7.7737,1809.1,4.5787,0.87546
4.1978,6358.6,55.129,7.808,13.364,109.04,1791.1,7.6354,41.573,4.6176,42.821,0.87008,65.778,706.51,61.306,25.587,45.833,19.892,13.67,23.511,39.736,46,59.681,46.889,10.778,9.2674,15.309,62.042,73.715,62.705,33.545,31.62,91.163,100.12,117.41,9.5972,16.814,2.2574,88.162,91.5,1.5571,2.5161,58.893,6372.4,7.6717,1796.3,4.562,0.87558
4.2089,6362.5,54.643,7.814,13.4,109.04,1825.3,7.6469,41.639,4.5711,42.87,0.87339,65.731,713.2,61.194,25.538,47.333,19.979,13.688,23.507,39.194,46.278,59.889,47.5,10.889,9.3681,15.477,61.882,73.762,62.705,29.096,31.633,91.163,100.16,117.41,9.3813,16.814,2.2525,88.162,91.5,1.5633,2.5151,58.893,6362.8,7.8246,1804,4.553,0.87858
4.2061,6358.6,55.021,7.802,13.42,109.08,1812.5,7.6382,41.778,4.5651,42.856,0.87008,65.731,710.81,61.222,25.563,46.25,19.49,13.622,23.417,39.622,46.167,60.167,47.222,10.833,9.5625,15.492,61.931,73.762,62.705,34.206,31.62,91.205,100.16,117.41,9.3563,16.814,2.2511,88.162,91.5,1.5665,2.5234,58.862,6365.2,7.7142,1814.2,4.5439,0.87896
4.2034,6368.5,54.709,7.8112,13.415,109.08,1810.2,7.6764,41.625,4.5829,42.811,0.87339,65.731,712.76,61.25,25.503,47.167,19.559,13.681,23.411,39.33,47.056,59.75,46.778,10.778,9.6111,15.507,61.875,73.808,62.746,28.871,31.668,91.247,100.21,117.41,9.289,16.845,2.2496,88.162,91.5,1.5696,2.5227,58.862,6367.6,7.8076,1798.9,4.5433,0.87921
4.195,6372.4,54.976,7.808,13.42,109.13,1818.7,7.6816,41.847,4.5537,42.748,0.87664,65.778,712.63,61.306,25.531,46.417,19.063,13.639,23.319,39.622,47.278,60.306,47.278,10.667,9.5764,15.364,61.858,73.855,62.663,31.972,31.654,91.247,100.25,117.46,9.8908,16.845,2.2501,88.162,91.5,1.5696,2.5112,58.831,6372.4,7.7312,1819.3,4.5426,0.87658
4.22,6372.4,55.021,7.808,13.312,109.17,1847.4,7.7126,42.181,4.5711,42.87,0.87664,65.778,708.18,61.056,25.431,46.25,18.854,13.792,23.228,39.816,48.056,61.139,46.389,10.833,9.6111,15.377,61.934,73.855,62.746,29.959,31.63,91.288,100.33,117.46,9.9428,16.845,2.2502,88.162,91.5,1.5602,2.4789,58.862,6350.9,7.7142,1850,4.5252,0.87683
4.22,6360.7,54.799,7.802,13.404,109.25,1831.4,7.8221,41.701,4.5356,42.759,0.87664,65.778,711.64,61.056,25.438,46.917,18.757,13.715,23.054,39.427,50.5,59.958,46.667,10.611,9.6458,15.389,61.851,73.902,62.705,30.117,31.651,91.372,100.46,117.55,9.6874,16.845,2.2447,88.162,91.5,1.5884,2.5178,58.8,6350.9,7.7821,1806.5,4.5078,0.87708
4.2228,6337.1,54.872,7.7899,13.358,109.33,1788.9,7.7762,41.163,4.5234,42.776,0.87664,65.731,711.54,61,25.497,46.667,18.378,13.747,22.88,38.823,49.944,58.569,46.389,10.667,9.7361,15.56,61.84,73.949,62.746,31.95,31.658,91.455,100.54,117.65,10.143,16.876,2.2402,88.204,91.54,1.5915,2.5331,58.8,6346.1,7.7567,1755.4,4.4904,0.88008
4.2423,6343.1,54.921,7.7928,13.333,109.34,1768.6,7.6903,41.451,4.4873,42.835,0.87664,65.778,710.68,60.806,25.42,46.583,17.927,13.833,22.868,39.406,48.444,59.194,47,10.778,9.6944,15.418,61.854,73.996,62.746,30.884,31.647,91.497,100.58,117.6,10.066,16.876,2.2367,88.204,91.54,1.6103,2.4817,58.8,6329.4,7.7482,1778.4,4.489,0.87758
4.2478,6338.9,54.862,7.802,13.451,109.29,1768.3,7.6448,41.111,4.481,42.766,0.87827,65.778,709.45,60.722,25.396,46.75,17.781,13.726,22.944,38.747,47.667,58.292,47.222,10.611,9.6771,15.43,61.882,73.949,62.705,30.311,31.64,91.538,100.54,117.55,10.225,16.876,2.2331,88.246,91.59,1.604,2.5012,58.8,6322.2,7.7652,1745.2,4.496,0.87783
4.2089,6337.1,54.799,7.7988,13.404,109.25,1754,7.5739,41.288,4.5057,42.679,0.87996,65.825,713.46,61.083,25.503,47,17.733,13.726,23.018,39.156,46.222,58.639,46.944,10.444,9.5347,15.284,61.767,73.996,62.705,30.973,31.651,91.497,100.5,117.41,10.429,16.876,2.2267,88.246,91.59,1.5978,2.4932,58.738,6353.3,7.7906,1758,4.5036,0.87521
4.22,6335,54.827,7.7988,13.384,109.17,1802.8,7.4411,41.934,4.4936,42.776,0.87996,65.872,711.64,60.972,25.479,46.833,17.5,13.743,23.175,39.444,43.389,60.236,47.556,10.611,9.4201,15.137,61.788,73.996,62.746,31.417,31.595,91.455,100.41,117.32,9.9949,16.876,2.2277,88.246,91.59,1.5915,2.53,58.738,6343.7,7.7737,1816.8,4.5196,0.87246
4.2339,6348.8,54.834,7.7928,13.496,109.04,1813.3,7.3987,42.024,4.481,42.759,0.87827,65.872,717.76,60.806,25.372,46.833,17.323,13.618,23.42,39.833,42.278,60.514,48.556,10.556,9.3194,15.144,61.632,73.996,62.705,29.971,31.63,91.372,100.25,117.13,9.7804,16.876,2.2377,88.204,91.54,1.554,2.4793,58.707,6329.4,7.7737,1827,4.5439,0.87258
4.2228,6347,54.684,7.7959,13.502,108.92,1850.6,7.4064,42.337,4.4873,42.672,0.87827,65.825,711.12,60.917,25.42,47.25,17.431,13.552,23.666,39.913,42.056,61.278,49.222,10.389,9.2604,15.308,61.743,74.043,62.705,31.155,31.623,91.288,100.16,117.04,9.7686,16.908,2.2413,88.204,91.54,1.5602,2.4518,58.707,6338.9,7.8161,1855.1,4.569,0.87558
4.2256,6341,54.716,7.7928,13.41,108.92,1843.3,7.4443,42.476,4.481,42.554,0.87827,65.825,710.96,60.889,25.455,47.333,17.351,13.597,23.661,40.573,42.556,61.694,49.833,10.167,9.1771,15.318,61.719,74.043,62.705,31.965,31.623,91.247,100.08,117.04,9.8977,16.908,2.2461,88.329,91.54,1.5946,2.4702,58.675,6336.5,7.8246,1873,4.5683,0.87583
4.2089,6370.3,55.059,7.7988,13.41,108.92,1881.8,7.4929,42.886,4.4995,42.748,0.87996,65.918,710.13,61.056,25.396,46.25,16.854,13.604,23.657,40.941,43.278,62.806,49.778,10.5,8.934,15.013,61.722,74.043,62.663,30.65,31.62,91.205,100.12,117.04,10.006,16.908,2.2432,88.412,91.54,1.5978,2.5898,58.675,6350.9,7.7142,1911.3,4.5676,0.87033
4.2034,6356.5,54.747,7.802,13.512,109,1885.5,7.5631,42.636,4.5116,42.63,0.88152,65.965,710.68,61.083,25.462,47.167,17.087,13.479,23.486,40.438,44.556,62.181,49.444,10.222,8.6424,14.86,61.684,74.136,62.705,30.514,31.627,91.205,100.16,117.13,9.686,16.908,2.2505,88.329,91.54,1.5352,2.5178,58.644,6353.3,7.8076,1888.3,4.5509,0.86758
4.2034,6337.1,54.83,7.7988,13.369,109.08,1832.3,7.6309,42.007,4.5175,42.606,0.88152,66.012,715.1,61.083,25.472,47,17.253,13.58,23.316,40.184,45.944,60.653,49.111,10.167,8.2986,14.704,61.556,74.183,62.746,32.743,31.592,91.205,100.21,117.22,9.9386,16.939,2.2611,88.246,91.54,1.5446,2.5053,58.644,6343.7,7.8161,1832.1,4.5335,0.8647
4.1783,6358.6,54.462,7.808,13.41,109.13,1825.1,7.6253,41.955,4.5234,42.651,0.87996,65.965,709.69,61.333,25.545,48,17.587,13.556,23.223,39.99,45.889,60.514,48.889,10.222,8.0903,14.86,61.639,74.23,62.746,31.214,31.668,91.288,100.33,117.32,9.6076,16.939,2.2661,88.329,91.5,1.5508,2.4998,58.613,6374.8,7.8926,1827,4.5245,0.86758
4.2145,6343.1,54.802,7.7899,13.394,109.21,1855,7.6233,42.056,4.5234,42.634,0.87996,65.965,710.57,60.972,25.497,47.083,17.285,13.573,23.049,39.524,45.833,60.792,48.667,10.167,7.8819,14.861,61.608,74.277,62.705,30.382,31.651,91.33,100.41,117.36,9.9317,16.939,2.2767,88.287,91.45,1.5352,2.5008,58.613,6348.5,7.7652,1834.6,4.5154,0.86758
4.2089,6354.7,54.66,7.8112,13.379,109.21,1849.7,7.6354,41.889,4.4995,42.641,0.87664,65.965,710.29,61.028,25.354,47.417,17.566,13.576,23.041,39.309,46.111,60.375,48.722,10.222,7.7396,14.863,61.618,74.277,62.746,32.377,31.672,91.372,100.46,117.36,9.7061,16.939,2.2842,88.329,91.45,1.5383,2.5217,58.582,6327,7.8331,1821.9,4.4981,0.86758
4.1978,6360.7,54.931,7.8051,13.42,109.29,1822.5,7.6479,42.08,4.5234,42.557,0.87508,65.965,715.1,61.139,25.448,46.75,17.479,13.556,22.866,40.125,46.5,60.861,48,10,7.5972,14.865,61.524,74.324,62.746,30.882,31.686,91.372,100.54,117.41,9.4431,16.939,2.2921,88.329,91.45,1.5414,2.5199,58.582,6358,7.7737,1837.2,4.4883,0.86758
